Z_MIN,TUILE,TO_DALLE
"41,097",tile_x22y78,DS
"42,626",tile_x22y79,DS
"41,640",tile_x22y80,DS
"41,460",tile_x22y81,DS
"41,350",tile_x22y82,DR
"40,823",tile_x22y83,DR
"40,740",tile_x22y84,DR
"41,649",tile_x22y85,DR
"41,383",tile_x22y86,DR
"41,467",tile_x22y87,DQ
"41,870",tile_x22y88,DQ
"40,958",tile_x22y89,DQ
"40,706",tile_x22y90,DQ
"41,640",tile_x22y91,DQ
"40,510",tile_x22y92,DP
"40,880",tile_x22y93,DP
"41,009",tile_x22y94,DP
"41,175",tile_x22y95,DP
"40,938",tile_x22y96,DP
"40,355",tile_x22y97,DO
"40,520",tile_x22y98,DO
"41,806",tile_x22y99,DO
"39,357",tile_x23y100,DO
"42,080",tile_x23y101,DO
"42,070",tile_x23y102,DN
"42,432",tile_x23y103,DN
"42,040",tile_x23y104,DN
"42,334",tile_x23y105,DN
"43,070",tile_x23y106,DN
"42,839",tile_x23y107,DM
"43,070",tile_x23y108,DM
"42,375",tile_x23y109,DM
"42,609",tile_x23y110,DM
"42,498",tile_x23y111,DM
"43,193",tile_x23y112,DL
"43,926",tile_x23y113,DL
"43,718",tile_x23y114,DL
"44,880",tile_x23y115,DL
"44,282",tile_x23y116,DL
"45,314",tile_x23y117,DK
"46,271",tile_x23y62,DV
"46,160",tile_x23y63,DV
"46,166",tile_x23y64,DV
"46,024",tile_x23y65,DV
"45,948",tile_x23y66,DV
"46,390",tile_x23y67,DU
"45,171",tile_x23y68,DU
"45,237",tile_x23y69,DU
"45,242",tile_x23y70,DU
"44,850",tile_x23y71,DU
"44,910",tile_x23y72,DT
"43,623",tile_x23y73,DT
"43,140",tile_x23y74,DT
"42,607",tile_x23y75,DT
"43,066",tile_x23y76,DT
"42,436",tile_x23y77,DS
"42,600",tile_x23y78,DS
"42,220",tile_x23y79,DS
"41,980",tile_x23y80,DS
"41,910",tile_x23y81,DS
"41,630",tile_x23y82,DR
"40,740",tile_x23y83,DR
"40,661",tile_x23y84,DR
"41,476",tile_x23y85,DR
"41,890",tile_x23y86,DR
"41,460",tile_x23y87,DQ
"41,761",tile_x23y88,DQ
"40,747",tile_x23y89,DQ
"41,380",tile_x23y90,DQ
"41,490",tile_x23y91,DQ
"39,545",tile_x23y92,DP
"40,500",tile_x23y93,DP
"41,180",tile_x23y94,DP
"40,790",tile_x23y95,DP
"41,355",tile_x23y96,DP
"39,981",tile_x23y97,DO
"40,871",tile_x23y98,DO
"41,560",tile_x23y99,DO
"39,082",tile_x24y100,DO
"41,862",tile_x24y101,DO
"41,930",tile_x24y102,DN
"41,779",tile_x24y103,DN
"41,739",tile_x24y104,DN
"42,680",tile_x24y105,DN
"42,870",tile_x24y106,DN
"42,540",tile_x24y107,DM
"41,741",tile_x24y108,DM
"41,739",tile_x24y109,DM
"42,103",tile_x24y110,DM
"43,320",tile_x24y111,DM
"43,734",tile_x24y112,DL
"43,377",tile_x24y113,DL
"43,733",tile_x24y114,DL
"43,862",tile_x24y115,DL
"44,131",tile_x24y116,DL
"45,290",tile_x24y117,DK
"45,090",tile_x24y118,DK
"46,410",tile_x24y62,DV
"46,580",tile_x24y63,DV
"46,105",tile_x24y64,DV
"46,290",tile_x24y65,DV
"45,663",tile_x24y66,DV
"45,290",tile_x24y67,DU
"44,920",tile_x24y68,DU
"45,873",tile_x24y69,DU
"46,027",tile_x24y70,DU
"45,212",tile_x24y71,DU
"44,910",tile_x24y72,DT
"43,789",tile_x24y73,DT
"43,664",tile_x24y74,DT
"43,440",tile_x24y75,DT
"43,300",tile_x24y76,DT
"42,900",tile_x24y77,DS
"42,520",tile_x24y78,DS
"42,480",tile_x24y79,DS
"41,960",tile_x24y80,DS
"41,440",tile_x24y81,DS
"41,145",tile_x24y82,DR
"39,749",tile_x24y83,DR
"40,551",tile_x24y84,DR
"41,620",tile_x24y85,DR
"40,910",tile_x24y86,DR
"40,754",tile_x24y87,DQ
"40,690",tile_x24y88,DQ
"40,345",tile_x24y89,DQ
"41,090",tile_x24y90,DQ
"41,170",tile_x24y91,DQ
"39,018",tile_x24y92,DP
"39,071",tile_x24y93,DP
"40,228",tile_x24y94,DP
"40,540",tile_x24y95,DP
"40,380",tile_x24y96,DP
"40,010",tile_x24y97,DO
"40,340",tile_x24y98,DO
"40,780",tile_x24y99,DO
"39,126",tile_x25y100,DO
"41,530",tile_x25y101,DO
"41,155",tile_x25y102,DN
"41,560",tile_x25y103,DN
"40,797",tile_x25y104,DN
"41,510",tile_x25y105,DN
"41,616",tile_x25y106,DN
"41,800",tile_x25y107,DM
"41,605",tile_x25y108,DM
"42,108",tile_x25y109,DM
"42,410",tile_x25y110,DM
"43,520",tile_x25y111,DM
"43,870",tile_x25y112,DL
"43,482",tile_x25y113,DL
"44,230",tile_x25y114,DL
"43,192",tile_x25y115,DL
"43,876",tile_x25y116,DL
"44,275",tile_x25y117,DK
"45,120",tile_x25y118,DK
"46,990",tile_x25y62,DV
"47,090",tile_x25y63,DV
"45,949",tile_x25y64,DV
"45,890",tile_x25y65,DV
"45,740",tile_x25y66,DV
"45,810",tile_x25y67,DU
"44,690",tile_x25y68,DU
"45,720",tile_x25y69,DU
"45,592",tile_x25y70,DU
"45,090",tile_x25y71,DU
"44,230",tile_x25y72,DT
"43,835",tile_x25y73,DT
"43,164",tile_x25y74,DT
"42,938",tile_x25y75,DT
"42,102",tile_x25y76,DT
"41,669",tile_x25y77,DS
"41,604",tile_x25y78,DS
"41,793",tile_x25y79,DS
"41,339",tile_x25y80,DS
"41,167",tile_x25y81,DS
"41,513",tile_x25y82,DR
"38,645",tile_x25y83,DR
"39,450",tile_x25y84,DR
"41,070",tile_x25y85,DR
"40,571",tile_x25y86,DR
"41,030",tile_x25y87,DQ
"39,520",tile_x25y88,DQ
"39,460",tile_x25y89,DQ
"39,505",tile_x25y90,DQ
"41,200",tile_x25y91,DQ
"39,069",tile_x25y92,DP
"38,778",tile_x25y93,DP
"39,400",tile_x25y94,DP
"40,410",tile_x25y95,DP
"39,539",tile_x25y96,DP
"39,630",tile_x25y97,DO
"39,750",tile_x25y98,DO
"38,167",tile_x25y99,DO
"40,420",tile_x26y100,DO
"40,766",tile_x26y101,DO
"41,220",tile_x26y102,DN
"39,879",tile_x26y103,DN
"40,580",tile_x26y104,DN
"40,830",tile_x26y105,DN
"41,251",tile_x26y106,DN
"41,626",tile_x26y107,DM
"42,716",tile_x26y108,DM
"42,640",tile_x26y109,DM
"42,136",tile_x26y110,DM
"42,900",tile_x26y111,DM
"42,726",tile_x26y112,DL
"43,121",tile_x26y113,DL
"43,118",tile_x26y114,DL
"43,584",tile_x26y115,DL
"44,650",tile_x26y116,DL
"44,270",tile_x26y117,DK
"45,180",tile_x26y118,DK
"47,074",tile_x26y62,DV
"46,560",tile_x26y63,DV
"46,910",tile_x26y64,DV
"45,410",tile_x26y65,DV
"45,816",tile_x26y66,DV
"46,770",tile_x26y67,DU
"46,130",tile_x26y68,DU
"45,340",tile_x26y69,DU
"44,714",tile_x26y70,DU
"44,696",tile_x26y71,DU
"45,020",tile_x26y72,DT
"44,590",tile_x26y73,DT
"43,033",tile_x26y74,DT
"43,195",tile_x26y75,DT
"42,271",tile_x26y76,DT
"41,954",tile_x26y77,DS
"41,400",tile_x26y78,DS
"42,330",tile_x26y79,DS
"42,080",tile_x26y80,DS
"41,680",tile_x26y81,DS
"40,960",tile_x26y82,DR
"41,080",tile_x26y83,DR
"39,190",tile_x26y84,DR
"40,410",tile_x26y85,DR
"40,920",tile_x26y86,DR
"40,540",tile_x26y87,DQ
"40,800",tile_x26y88,DQ
"41,250",tile_x26y89,DQ
"39,650",tile_x26y90,DQ
"39,320",tile_x26y91,DQ
"40,119",tile_x26y92,DP
"38,460",tile_x26y93,DP
"38,970",tile_x26y94,DP
"38,499",tile_x26y95,DP
"38,810",tile_x26y96,DP
"39,680",tile_x26y97,DO
"38,730",tile_x26y98,DO
"37,958",tile_x26y99,DO
"37,685",tile_x27y100,DO
"38,801",tile_x27y101,DO
"39,130",tile_x27y102,DN
"39,840",tile_x27y103,DN
"40,920",tile_x27y104,DN
"40,986",tile_x27y105,DN
"41,281",tile_x27y106,DN
"42,200",tile_x27y107,DM
"42,390",tile_x27y108,DM
"42,507",tile_x27y109,DM
